League,Player,Games,Game Win %,Z-Nonstandard points per game,Z-Goals per game,Z-Assists per game,Z-Saves per game,Z-Shots per game,Rating Points,Rating Rank
mncs,Prussia,68,45.6%,-0.8056,-0.4350,0.2152,-0.3098,-0.3861,83.4882,41
clmn 1,Vespid,3,100.0%,-1.3027,-1.1417,0.7029,-1.3903,0.9053,83.4523,20
clmn 2,Invy,55,60.0%,0.6154,1.3573,0.8519,-0.0774,1.7217,83.1887,3
mncs,tkd247,11,18.2%,-0.5361,-0.0542,-0.3446,1.0621,-0.4044,83.0739,42
clmn 1,joebrothehobo,56,51.8%,0.6291,0.5963,-0.4562,0.9325,0.9960,82.4552,21
mncs,Immortal,25,56.0%,-1.0115,0.0823,-0.0977,-1.5656,-0.5430,82.3170,43
clmn 1,Kharon,56,35.7%,0.9314,0.5390,-0.2433,0.6404,0.6330,82.2713,22
clmn 1,Zer0Vibes,23,52.2%,-0.3251,0.7184,-0.3914,-0.5098,0.2424,80.1428,23
clmn 1,Wastee,59,28.8%,0.0006,0.1273,0.0069,-0.3737,0.2807,79.8795,24
clmn 2,H-town11,57,68.4%,0.5160,1.0868,0.9148,-0.7852,1.0282,79.7080,4
clmn 1,Joan XxXGamerProXxXx,27,44.4%,0.3706,0.0467,0.1141,-0.1786,0.1994,79.5821,25
clmn 2,Zer0Vibes,57,61.4%,1.6152,1.3460,0.7419,0.7860,1.1752,78.1806,5
clmn 1,Elephant,24,37.5%,1.2955,0.9974,-0.1250,1.5306,-0.2065,77.3792,26
clmn 1,Czecher,68,48.5%,-0.1264,0.3368,-0.3686,-0.3365,0.2700,77.2651,27
clmn 1,Benny,65,49.2%,-0.1544,0.1089,0.1934,-0.2519,-0.1307,77.2509,28
clmn 2,Didnt_ask.rl,47,66.0%,0.4702,1.4121,0.4421,-0.2429,1.0868,76.6182,6
clmn 1,Komet22,69,47.8%,-0.2462,0.0674,-0.1610,-0.6114,0.1319,76.5963,29
clmn 1,A1mpa,64,46.9%,0.0472,-0.6069,0.3510,-0.0637,0.0119,74.0357,30
clmn 1,Park3r,19,42.1%,-0.1033,-0.1847,0.3543,-0.4884,-0.4991,73.9350,31
mncs,Lege,39,43.6%,-0.5463,-0.2001,-0.8986,-0.0224,-0.4258,73.6513,44
clmn 1,Loaded,61,34.4%,0.2188,-0.6858,0.7897,0.3846,-0.3445,73.5652,32
clmn 2,TrevorG,55,60.0%,-0.0146,0.7663,1.0311,-0.1678,0.7422,73.3157,7
clmn 1,Jaws00115,30,46.7%,-0.3349,-0.6069,0.3055,-0.3777,-0.1112,72.7807,33
clmn 2,HereticChimera,56,60.7%,-0.0346,0.6128,0.9719,-0.7486,0.4923,72.3504,8
clmn 1,Toast,20,40.0%,-0.0971,-0.9278,1.0340,0.2065,-0.5559,72.2086,34
clmn 2,CW | Pretty,62,62.9%,-0.1978,0.4630,0.9747,-0.9908,0.1854,69.9185,9
clmn 1,tobes,54,40.7%,-0.6995,0.1061,-0.1802,-0.2652,-0.4359,69.6600,35
clmn 2,jadenruege (platnum jayz),55,61.8%,0.3768,0.7663,0.4039,-0.4845,0.5028,69.4114,10
clmn 2,Flash,5,40.0%,0.7906,1.6259,-1.2983,-0.3488,1.3517,68.5701,11
clmn 1,Blake,67,29.9%,-0.1650,-0.2477,-0.4636,-0.1929,-0.0240,68.2179,36
clmn 1,RangerX,63,47.6%,-1.0832,-0.3268,-0.0541,-0.0921,-0.2645,67.8071,37
clmn 1,Fyre,14,35.7%,-0.2017,-1.0653,-0.2433,-0.7783,0.1792,67.4014,38
clmn 2,Fizel,12,66.7%,0.2915,0.2962,0.5906,-0.1415,0.6134,67.3751,12
mncs,Ryu Protex,35,31.4%,-0.6989,-0.7940,-0.4426,-0.3777,-0.8479,67.2056,45
clmn 1,feelsbadman,10,30.0%,0.2752,0.3557,-0.7543,2.1927,0.2700,66.1424,39
clmn 2,DarkCourier,62,62.9%,0.0215,0.7490,0.4979,0.0926,0.3206,65.8513,13
mncs,Komet22,14,57.1%,-1.8537,-0.9281,0.0963,-1.5090,-0.8697,65.7768,46
clmn 2,Caleb (IntoAudacity),55,60.0%,-0.3584,0.7126,0.1352,-0.8916,0.2633,65.2234,14
clmn 2,BSquared95,12,66.7%,0.6792,0.5425,-0.6413,0.2732,1.4115,64.9695,15
clmn 2,QUIKHorizon,28,53.6%,0.1396,0.7183,-0.3480,-0.6153,0.6419,64.6650,16
clmn 2,Panzu,61,65.6%,0.3156,0.1146,0.7050,-0.0225,0.2879,64.6223,17
clmn 2,Tactics,22,18.2%,1.3276,0.3634,-0.0440,0.6690,0.8401,64.5619,18
clmn 2,Joan XxXGamerProXxXx,37,59.5%,1.0889,0.6356,0.1134,0.8615,0.4975,63.6580,19
clmn 1,H-town11,24,37.5%,-0.8777,-0.2058,-0.6218,-0.6114,-0.4183,63.4186,40
clmn 2,Vespid,60,61.7%,0.4436,0.2470,0.2621,-0.3488,0.2144,63.2415,20
mncs,Czecher,2,50.0%,0.2900,-2.0458,1.7130,-2.6874,-2.8297,62.6294,47
clmn 2,Wubik,9,33.3%,2.3493,0.3783,0.4537,3.2448,0.9792,62.5824,21
mncs,Sonny,14,21.4%,-0.9327,-1.3752,-0.4426,-0.3306,-0.5430,62.3930,48
clmn 2,Fyre,47,46.8%,0.7279,0.7206,-0.2918,0.1806,0.3990,62.1313,22
clmn 1,Lege,24,29.2%,1.1429,-0.8743,-0.1250,2.0174,-0.0477,61.5927,41
clmn 2,Onion,20,75.0%,0.5117,-0.1470,0.4263,0.1488,0.1545,60.1853,23
mncs,joebrothehobo,5,0.0%,0.5463,-0.7940,-1.3048,0.2822,-1.1528,60.0317,49
clmn 1,DarkCourier,11,45.5%,-0.4930,-0.4611,-0.5014,-0.6114,-0.9429,58.3654,42
clmn 2,a_ghoul,30,30.0%,-0.6061,-0.2455,0.0157,-0.7634,0.2343,57.6918,24
clmn 2,Jerbear45,20,10.0%,0.8666,0.2962,0.6727,1.8903,-0.1448,57.2169,25
mncs,DcuRt,3,0.0%,2.6527,-2.0458,-2.0593,0.0622,-0.0349,57.2109,50
clmn 1,BSquared95,5,40.0%,0.3534,0.3557,-1.1517,2.6600,-0.1112,57.1456,43
clmn 1,Agent,57,38.6%,-0.9240,-0.5225,-0.1338,-0.1194,-1.2124,56.9716,44
clmn 1,mysterio,18,38.9%,-1.4574,-0.9634,0.0405,-0.8710,-1.2124,56.6212,45
clmn 2,Dragon.,33,27.3%,0.6033,0.7663,-0.7906,1.6114,0.6043,54.9414,26
clmn 2,dinger022,58,24.1%,0.6079,0.3217,-0.5847,0.7236,0.2247,54.4546,27
