DISCORD TAG,IN-GAME NAME,HIGHEST RANK REACHED (last 3 seasons),ROCKET LEAGUE TRACKER LINK,Rank Range Value,RL Tracker Peak Value,S3 Player Rating,S4 Draft Player Rating (range),S4 Draft Player Rating (peak)
zbruh#2576,zbruh_rl,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198257238904/overview,1711,,131.5314,1842.5314,131.5314
PaulyB#3070,PaulyB,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198119212430/overview,1711,1850,131.9927,1842.9927,1981.9927
Tarr #5138,Tarr_RL,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198867024835/overview,1435,,76.5963,1511.5963,76.5963
Park3r#0683,Park3r,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198053712247/overview,1575,,73.935,1648.935,73.935
CrustyTammy#8860,Tammy,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198108049593/overview,1435,,0,1435,0
Latumos#9481,Latumos,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/latumos/overview,1864,1873,108.1734,1972.1734,1981.1734
Eskittle#7896,Eskittle,Champion II (1195-1314),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198300004710/overview,1195,,0,1195,0
NeighborMark#7806,Neighbor Mark,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198162164127/overview,1435,,0,1435,0
Bean#7645,XLK | Beany Howl.gg,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198300187710/overview,1435,,0,1435,0
CzchR.#3162,Czecher,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561199005467059/overview,1575,1641,77.2651,1652.2651,1718.2651
magepiggy#9987,trish.,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/epic/X_magesticpig_X/overview,1435,,0,1435,0
DJCJ#0572,DJCJ,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/epic/sillyelephant363/overview,1711,,110.8153,1821.8153,110.8153
