player_name,league_name,player game win %,player true games total,Z-Goals per average per game,Z-Assists per average per game,Z-Shots per average per game,Z-Saves per average per game,Z-Nonstandard points per average per game
1ord,clmn,61.2%,49,1.421531924487388,0.5582044122803521,0.7736329704763647,-0.3404833896485396,-0.2907572790741301
6neb,mnrs,25.0%,8,-0.4893849953634216,-1.1672079380539675,-0.5519271993332565,1.3545845624695074,-0.5647588832749876
A GUZIK,mnrs,28.6%,21,-1.0359189063149739,-1.037528717267067,-0.9024091473580936,-1.4525879356767424,-0.8406251251305146
afleader,mnrs,0.0%,12,-0.902731155679232,-0.5037253920491743,-0.8719222851936079,-0.9088174472705499,1.4788951166189548
ambrosia,mncs,51.4%,70,1.6592718248569684,0.7263359428401287,1.4992396740547314,0.49442958574440454,-0.21419851039495058
Aostine,mncs,47.9%,71,0.20886543032923371,-0.2748673306252846,0.29085974518590213,0.4031154952497709,0.17044740116011153
AwkSauce,clmn,45.8%,24,0.09841118403669533,1.1852566392907942,0.03627608503341066,0.4117391205952656,-0.1986775283491702
Benny,clmn,60.0%,5,0.4858397907956066,-0.43895420621615555,1.9804038163043662,-1.3755032140031824,2.554106801142782
Benny,mnrs,52.4%,63,0.700048492664589,0.08480027663600877,0.7010090919193743,-0.6285271806809712,0.9484206513887802
Berf,mncs,53.8%,91,-0.17826516701837256,-0.19066606462189903,0.097934747146978,-0.33762346830413054,1.0783312621665335
big booty crogan,mnrs,75.0%,4,0.9129762236157348,3.9548573503917,0.4755704365596756,0.39503396275371694,-0.4965279109933013
Blake,clmn,0.0%,3,-0.39014389075144246,-2.309935278622776,-1.6113715939874673,2.813198532247257,0.22255518340821567
Blake,mnrs,70.5%,78,0.6476059734570994,0.9601993119652984,0.9784593679874841,-0.13006511234300747,-0.6398174954119509
Blakester,clmn,0.0%,3,-2.2393864804835006,-0.2623756712701487,-1.0115586435693058,-0.7020845417975611,-3.3043822695858855
Blakester,mnrs,54.2%,24,-0.39466121700348117,0.6219385129015917,0.7842184930076388,-0.7077380024184314,1.0483335815550148
bomb3rrr,clmn,54.8%,42,0.7736533159961647,1.1530396588286829,1.038803879788981,-0.7939664473228742,0.11106865334572408
BorkRL,mncs,50.0%,20,0.8722483110768021,0.5903212909278152,0.6781206938805109,1.1891800362004035,-1.258688558454336
Bruh.com,clmn,57.1%,7,-1.7527389320408029,1.6590564111210455,-0.23802622511177626,-0.07959669354026441,0.1225791517601458
Bruh.com,mnrs,55.8%,52,0.5661208249061541,0.4354154378261014,0.5336619637069228,-0.4387409899325505,-0.6544631900959956
Caesar,clmn,65.3%,75,0.6111728190917086,0.7556027760554066,0.8257383710572933,0.16853188660387664,-0.5301108476919288
Caesar,mncs,14.3%,14,-0.9065509648540451,-0.8865170485252082,-0.9041205883339881,-0.0474816607164602,-0.5056291640552057
Caleb (IntoAudacity),mnrs,52.5%,40,-1.3515287296173668,1.0023835411052637,-1.3792108734404103,-0.8615005765771219,0.9816270493030714
Calster,mncs,71.0%,31,0.8357788114414313,1.1211123826338634,0.005950790209790976,-0.47831682972990797,-0.33663566510598336
Chazzi,mncs,50.7%,69,0.6395326428064112,-0.20677554853295083,1.0384458859574246,-0.3543158307671854,0.5103139754030466
cheeriojf,clmn,56.1%,57,1.6696345371649792,-0.20881594691432526,1.2369582816100861,0.27526274333510764,0.776462079374781
Chikn,mncs,58.0%,50,1.4886427170885475,0.6197384157925929,1.958314468183523,0.6793302766304073,0.5094929950289009
Colbs DC,clmn,45.2%,73,0.3816199942597062,0.7289414616980086,1.0940592602809893,-0.4626172513974507,0.1004607253528239
Colbs DC,mncs,25.0%,4,1.94109531478654,-0.9334425493795447,0.3744188291400336,-0.9679549576049645,0.9518089600781553
Conundrum Effect,mncs,57.0%,86,-0.30937872136271954,-0.06075910946706294,0.01873307420450783,-0.7686217009010735,0.3564889256992498
Coughiin,clmn,55.9%,34,0.3295111808586767,0.6607907396173845,0.40308997004269764,-0.7667785552963735,0.468506140787744
Coughiin,mncs,55.6%,9,-0.7354081767006451,1.1601169305484995,-1.8143307161226798,0.6862563440268262,1.0128046600781047
