player_name,league_name,player true games total,s4 player rating points
TrevorG,mnrs,31,70.12894117912202
vanish,mncs,39,128.53347781688353
Veltri,mncs,25,97.6056579089539
Vespid,mnrs,64,47.87663901301661
Voltdestroyer,mncs,53,97.93612381400207
Wastee,clmn,3,44.74856391050373
Wastee,mnrs,62,70.37173402135831
Wildcat,mncs,60,106.64458140522832
Wubik,clmn,69,70.54244413148794
Wubik,mncs,39,88.79985907737607
XLK | Beany #RustClash,mnrs,18,42.16500758217442
zbruh_rl,mncs,52,121.40764151149877
Zer0Vibes,clmn,63,72.74448792199546
Zer0Vibes,mnrs,39,68.27225842114456
Zodak,mncs,68,96.22175092583711
zzilmy,clmn,4,35.93128239669983
zzilmy,mnrs,16,57.11258459772782
